IFIX - 1/1/2014 12:00:00 AM 12/31/2025 12:00:00 AM
Mês;Ano;Valor

1;2014;1.282,04
2;2014;1.330,42
3;2014;1.336,07
4;2014;1.350,76
5;2014;1.369,25
6;2014;1.387,63
7;2014;1.409,42
8;2014;1.413,10
9;2014;1.421,44
10;2014;1.402,46
11;2014;1.361,51
12;2014;1.336,72
1;2015;1.372,06
2;2015;1.369,42
3;2015;1.347,63
4;2015;1.397,06
5;2015;1.417,54
6;2015;1.460,46
7;2015;1.470,73
8;2015;1.458,12
9;2015;1.400,42
10;2015;1.430,17
11;2015;1.452,66
12;2015;1.409,01
1;2016;1.322,95
2;2016;1.361,05
3;2016;1.485,75
4;2016;1.554,17
5;2016;1.612,36
6;2016;1.638,16
7;2016;1.735,99
8;2016;1.767,11
9;2016;1.816,05
10;2016;1.885,92
11;2016;1.837,13
12;2016;1.864,61
1;2017;1.934,69
2;2017;2.028,86
3;2017;2.032,81
4;2017;2.035,85
5;2017;2.056,75
6;2017;2.074,14
7;2017;2.066,19
8;2017;2.084,00
9;2017;2.221,05
10;2017;2.226,25
11;2017;2.213,08
12;2017;2.226,46
1;2018;2.285,23
2;2018;2.311,41
3;2018;2.357,54
4;2018;2.337,25
5;2018;2.214,11
6;2018;2.125,22
7;2018;2.154,45
8;2018;2.139,40
9;2018;2.134,81
10;2018;2.242,45
11;2018;2.300,48
12;2018;2.351,59
1;2019;2.409,69
2;2019;2.434,56
3;2019;2.482,93
4;2019;2.508,45
5;2019;2.552,69
6;2019;2.626,10
7;2019;2.659,55
8;2019;2.656,69
9;2019;2.684,26
10;2019;2.791,98
11;2019;2.890,26
12;2019;3.197,58
1;2020;3.077,28
2;2020;2.963,81
3;2020;2.494,10
4;2020;2.603,62
5;2020;2.657,68
6;2020;2.806,28
7;2020;2.733,12
8;2020;2.782,10
9;2020;2.794,88
10;2020;2.766,76
11;2020;2.808,56
12;2020;2.870,15
1;2021;2.879,45
2;2021;2.886,53
3;2021;2.846,77
4;2021;2.861,15
5;2021;2.816,46
6;2021;2.754,89
7;2021;2.824,12
8;2021;2.749,84
9;2021;2.715,67
10;2021;2.675,68
11;2021;2.578,40
12;2021;2.804,79
1;2022;2.776,92
2;2022;2.741,15
3;2022;2.779,97
4;2022;2.813,06
5;2022;2.820,45
6;2022;2.795,62
7;2022;2.814,10
8;2022;2.976,23
9;2022;2.990,80
10;2022;2.991,45
11;2022;2.867,21
12;2022;2.867,13
1;2023;2.821,14
2;2023;2.808,39
3;2023;2.760,96
4;2023;2.858,23
5;2023;3.013,46
6;2023;3.155,32
7;2023;3.197,18
8;2023;3.212,81
9;2023;3.219,28
10;2023;3.155,70
11;2023;3.176,56
12;2023;3.311,43
1;2024;3.333,51
2;2024;3.360,00
3;2024;3.408,15
4;2024;3.381,79
5;2024;3.382,34
6;2024;3.347,33
7;2024;3.364,78
8;2024;3.393,55
9;2024;3.305,97
10;2024;3.204,84
11;2024;3.137,33
12;2024;3.116,28
1;2025;3.020,63
2;2025;3.121,48
3;2025;3.313,09
4;2025;3.412,71
5;2025;3.461,93
6;2025;3.483,77
7;2025;3.436,38
8;2025;3.476,36
9;2025;3.589,44
10;2025;3.593,58
11;2025;3.631,23
